"Specimen" "YEAR" "MONTH" "DML" "Testisweight"
"2" 1034 1990 "9" 144 0.008
"11" 1020 1990 "9" 144 0.022
"13" 1039 1990 "9" 125 0.024
"14" 1038 1990 "9" 140 0.026
"16" 1037 1990 "9" 142 0.036
"20" 1026 1990 "9" 163 0.05
"23" 1029 1990 "9" 190 0.066
"24" 1012 1990 "9" 165 0.069
"28" 1030 1991 "9" 135 0.084
"33" 1001 1991 "9" 140 0.102
"43" 1041 1991 "9" 148 0.16
"44" 1019 1990 "9" 190 0.161
"52" 1028 1990 "9" 189 0.21
"76" 1007 1990 "9" 165 0.297
"79" 1009 1990 "9" 173 0.302
"85" 1021 1990 "9" 180 0.33
"90" 1007 1990 "9" 165 0.379
"95" 1052 1990 "9" 225 0.388
"101" 1046 1991 "9" 200 0.426
"103" 1005 1990 "9" 196 0.43
"105" 1050 1991 "9" 207 0.442
"107" 1052 1991 "9" 210 0.444
"113" 1003 1990 "9" 185 0.482
"117" 1055 1990 "9" 250 0.508
"119" 1049 1991 "9" 225 0.517
"140" 1063 1990 "9" 232 0.645
"142" 1042 1991 "9" 133 0.654
"145" 1065 1990 "9" 273 0.704
"146" 1037 1991 "9" 233 0.705
"151" 1029 1990 "9" 140 0.758
"154" 1028 1990 "9" 204 0.785
"157" 1022 1990 "9" 190 0.812
"167" 1009 1990 "9" 279 1.041
"168" 1041 1990 "9" 265 1.051
"173" 1007 1991 "9" 244 1.13
"183" 1010 1990 "9" 219 1.218
"184" 1035 1990 "9" 291 1.241
"193" 1006 1990 "9" 218 1.421
"194" 1020 1990 "9" 320 1.463
"195" 1053 1991 "9" 260 1.466
"199" 1066 1990 "9" 279 1.52
"200" 1013 1990 "9" 213 1.536
"205" 1016 1990 "9" 274 1.653
"215" 1004 1990 "9" 306 1.764
"222" 1035 1991 "9" 270 1.859
"230" 1001 1991 "9" 261 2.012
"233" 1029 1990 "9" 290 2.022
"244" 1048 1991 "9" 212 2.133
"262" 1001 1990 "9" 267 2.334
"276" 1005 1990 "9" 245 2.531
"287" 1057 1990 "9" 347 2.72
"289" 1004 1990 "9" 215 2.735
"293" 1018 1990 "9" 280 2.76
"302" 1064 1990 "9" 271 2.873
"304" 1055 1991 "9" 265 2.9
"313" 1008 1990 "9" 183 3.069
"321" 1001 1991 "9" 270 3.155
"326" 1054 1991 "9" 248 3.181
"327" 1001 1991 "9" 259 3.188
"333" 1060 1990 "9" 299 3.258
"345" 1043 1990 "9" 322 3.397
"356" 1006 1991 "9" 268 3.552
"375" 1034 1991 "9" 215 3.758
"381" 1002 1990 "9" 330 3.843
"390" 1008 1990 "9" 186 3.958
"391" 1025 1990 "9" 200 3.964
"393" 1056 1991 "9" 255 3.986
"398" 1007 1990 "9" 188 4.014
"405" 1073 1990 "9" 210 4.144
"414" 1006 1990 "9" 230 4.351
"439" 1016 1990 "9" 231 4.633
"457" 1003 1990 "9" 350 4.888
"462" 1047 1990 "9" 392 4.959
"463" 1005 1991 "9" 288 4.962
"467" 1007 1990 "9" 210 5.085
"470" 1017 1990 "9" 256 5.103
"473" 1005 1990 "9" 214 5.129
"481" 1024 1990 "9" 341 5.189
"485" 1001 1991 "9" 272 5.233
"493" 1025 1990 "9" 277 5.32
"502" 1003 1991 "9" 233 5.468
"504" 1044 1990 "9" 250 5.569
"506" 1004 1991 "9" 287 5.618
"507" 1050 1990 "9" 357 5.782
"512" 1039 1991 "9" 288 5.869
"518" 1011 1990 "9" 322 5.98
"520" 1015 1990 "9" 300 6.074
"529" 1004 1990 "9" 315 6.32
"538" 1007 1990 "9" 205 6.602
"543" 1036 1991 "9" 319 6.801
"554" 1003 1991 "9" 282 7.095
"562" 1002 1991 "9" 307 7.26
"575" 1058 1990 "9" 374 7.564
"583" 1037 1990 "9" 346 7.858
"597" 1037 1990 "9" 300 8.294
"602" 1001 1991 "9" 308 8.525
"605" 1038 1991 "9" 273 8.581
"618" 1005 1990 "9" 348 9.132
"626" 1003 1990 "9" 265 9.287
"631" 1026 1990 "9" 324 9.4
"642" 1051 1991 "9" 337 9.911
"650" 1027 1990 "9" 410 10.225
"654" 1046 1990 "9" 284 10.338
"656" 1016 1990 "9" 288 10.505
"669" 1002 1990 "9" 329 11.378
"673" 1030 1990 "9" 355 11.492
"692" 1001 1990 "9" 370 12.186
"693" 1002 1991 "9" 323 12.337
"696" 1002 1991 "9" 302 12.442
"703" 1028 1990 "9" 395 12.711
"710" 1045 1990 "9" 306 13.179
"717" 1043 1990 "9" 312 14.205
"718" 1046 1990 "9" 425 14.292
"719" 1031 1990 "9" 322 14.298
"721" 1034 1990 "9" 357 14.384
"723" 1002 1990 "9" 341 14.665
"728" 1001 1990 "9" 384 15.125
"729" 1048 1990 "9" 406 15.135
"731" 1032 1990 "9" 335 15.947
"732" 1034 1990 "9" 400 16.034
"734" 1029 1990 "9" 319 16.282
"735" 1042 1990 "9" 312 16.392
"736" 1003 1990 "9" 392 16.411
"737" 1030 1990 "9" 342 16.486
"739" 1012 1990 "9" 390 16.912
"740" 1039 1990 "9" 368 16.961
"741" 1049 1990 "9" 388 17.055
"746" 1001 1990 "9" 439 18.183
"747" 1038 1990 "9" 380 18.48
"751" 1040 1990 "9" 375 19.176
"753" 1035 1990 "9" 410 19.88
"754" 1017 1990 "9" 425 20.125
"756" 1001 1990 "9" 408 20.422
