field;y.1;y.2;y.3;field.size;bqi;crop.hist;t1;t2;t3
1;1;1;1;14;1;crop;1;2;3
2;1;1;0;12.7;1;crop;1;2;3
3;0;0;0;15.7;0;grass;1;2;3
4;0;1;0;19.5;0;grass;1;2;3
5;1;0;1;13.5;0;crop;1;2;3
6;0;0;1;9.6;0;NA;1;2;3
7;0;0;1;44;1;crop;1;2;3
8;1;1;1;9.4;1;crop;1;2;3
9;1;1;0;19.6;0;NA;1;2;3
10;1;1;1;7;0;NA;1;2;3
11;1;1;0;20.9;1;crop;1;2;3
12;0;0;0;17.8;1;crop;1;2;3
13;0;0;0;14.4;1;crop;1;2;3
14;0;0;1;24.9;1;crop;1;2;3
15;1;1;1;6.4;1;crop;1;2;3
16;0;0;1;53.9;1;crop;1;2;3
17;0;0;1;10.3;0;crop;1;2;3
18;0;0;0;12;0;crop;1;2;3
19;0;1;1;6.8;0;NA;1;2;3
20;0;0;0;17.6;0;crop;1;2;3
21;1;0;0;18.8;0;crop;1;2;3
22;0;1;0;28;0;crop;1;2;3
23;1;0;0;7.9;0;crop;1;2;3
24;1;1;1;38.3;0;crop;1;2;3
25;1;1;1;15.9;0;crop;1;2;3
26;0;1;1;11.3;0;crop;1;2;3
27;0;0;1;10.5;0;crop;1;2;3
28;0;1;0;10.3;1;crop;1;2;3
29;1;1;0;18.2;0;grass;1;2;3
30;0;1;1;23;0;grass;1;2;3
31;0;0;0;30.2;0;crop;1;2;3
32;1;1;1;6.7;0;crop;1;2;3
33;1;0;0;10;0;crop;1;2;3
34;1;1;0;10;0;crop;1;2;3
35;0;0;0;18.1;1;crop;1;2;3
36;0;0;0;6.8;1;crop;1;2;3
37;0;1;0;9.2;0;mixed;1;2;3
38;0;1;1;10.7;0;mixed;1;2;3
39;1;1;1;9;0;mixed;1;2;3
40;1;0;1;9.1;0;mixed;1;2;3
41;0;1;0;10.4;1;NA;1;2;3
