toxin	block	temp	nutri
90	A	control	N
91	A	control	P
107	A	control	NP
92	A	control	N
89	A	control	P
92	A	control	NP
81	A	control	N
92	A	control	P
93	A	control	NP
80	A	High	N
126	A	High	P
100	A	High	NP
121	A	High	N
110	A	High	P
119	A	High	NP
78	A	High	N
98	A	High	P
122	A	High	NP
83	B	control	N
80	B	control	P
95	B	control	NP
98	B	control	N
98	B	control	P
106	B	control	NP
74	B	control	N
81	B	control	P
74	B	control	NP
102	B	High	N
112	B	High	P
105	B	High	NP
99	B	High	N
108	B	High	P
123	B	High	NP
136	B	High	N
133	B	High	P
132	B	High	NP
85	C	control	N
88	C	control	P
88	C	control	NP
112	C	control	N
94	C	control	P
91	C	control	NP
82	C	control	N
78	C	control	P
94	C	control	NP
60	C	High	N
114	C	High	P
114	C	High	NP
90	C	High	N
118	C	High	P
113	C	High	NP
119	C	High	N
122	C	High	P
136	C	High	NP
86	D	control	N
78	D	control	P
89	D	control	NP
79	D	control	N
86	D	control	P
87	D	control	NP
85	D	control	N
89	D	control	P
83	D	control	NP
73	D	High	N
122	D	High	P
114	D	High	NP
109	D	High	N
131	D	High	P
126	D	High	NP
116	D	High	N
136	D	High	P
133	D	High	NP
