x	y
1.158463	13.41794
10.80205	13.88782
1.328094	14.24505
2.315827	14.9244
6.284004	15.59752
13.49808	16.57253
7.475675	16.5956
18.53639	16.83748
4.738481	17.36468
7.120494	17.47545
3.077327	17.5662
5.381555	17.89126
6.57788	17.99962
1.482235	18.81803
5.142769	18.91694
2.6803	18.94117
4.002408	19.18752
6.440494	19.40604
23.14908	19.44198
3.298813	19.60107
15.96863	19.68965
4.217955	19.75227
8.82153	19.85884
6.804912	20.13052
10.94106	20.22608
9.079423	20.39615
5.383713	20.63219
13.20382	20.75931
17.97148	20.881
20.33374	21.18042
16.27562	21.24191
17.60101	21.37482
4.320285	21.40218
6.186476	21.58471
5.329899	21.62104
9.849137	21.6575
8.097444	21.91417
3.250472	21.92588
7.19397	21.94812
5.572783	22.04446
7.591519	22.07668
11.58107	22.26911
40.91331	22.34138
26.81259	22.47545
12.32175	22.54258
1.55625	22.5502
10.18062	22.61609
17.5541	22.72262
12.51343	23.25653
10.26602	23.36493
6.295937	23.81154
26.00408	23.90941
34.3378	24.11565
1.527496	24.12988
14.58772	24.75848
14.34559	24.77103
15.48072	24.88007
18.43314	24.89531
18.14217	24.98772
35.51309	25.19151
38.38749	25.25159
13.17343	25.29478
26.14437	25.30033
12.22719	25.31757
19.71696	25.55876
14.89525	25.57761
20.73424	25.85789
27.12526	25.92095
25.2398	26.26006
18.75801	26.32471
24.57927	26.61791
22.07437	26.63022
9.872487	26.63886
36.04056	26.91347
25.19559	27.11617
42.60851	27.31713
40.60361	27.32881
32.23817	27.32924
29.19721	27.33856
26.03527	27.37137
33.87574	27.49937
17.90126	27.64482
18.76518	27.79073
10.18793	27.91871
9.120105	28.14623
43.75038	28.28385
28.64677	28.52376
35.71298	28.95056
26.15763	29.47493
46.71821	29.81651
46.53836	30.15275
43.11908	30.62136
30.4229	30.70293
23.01157	30.81165
47.26849	30.93843
29.28657	31.145
27.5523	31.18899
32.7519	31.33805
8.447563	31.3386
49.02706	31.53907
40.6209	31.56146
44.85037	31.83334
26.77805	31.83947
46.46612	32.76008
56.63617	32.82755
46.09772	33.14095
20.15418	33.24354
40.28046	33.93046
46.08998	34.08865
50.9229	34.14209
46.54774	34.23773
37.91607	34.2917
50.69828	34.35846
43.70982	34.36375
58.21168	34.38462
54.63274	35.01973
33.69149	35.4738
35.43968	35.58238
65.21487	36.08141
68.72631	36.32491
59.78988	36.38339
59.69732	36.54167
44.50457	36.60431
65.6137	36.60661
51.85044	36.81017
54.52764	37.02937
66.85995	37.39858
74.50687	37.50901
51.7823	37.67704
51.70472	37.78968
81.9335	37.83233
79.58169	37.935
51.88894	38.00768
63.00785	38.04852
76.89338	38.21337
52.00062	38.21461
63.43143	38.27356
56.32428	38.27898
53.16304	38.90812
64.55649	38.92016
50.50226	38.94755
46.2344	39.17998
62.95551	39.3615
58.98387	39.42795
77.19644	39.59496
57.93726	39.64604
55.04353	39.6504
55.6672	39.69942
76.76308	39.80263
45.64239	39.85932
56.60709	39.88466
72.67782	39.88513
69.29434	40.08705
78.69074	40.11244
57.47491	40.22186
76.2219	40.34131
51.4882	40.38545
68.39026	40.70836
47.20992	40.82749
72.92026	40.95765
48.82405	41.19278
69.25488	41.2055
60.48006	41.21379
88.41684	41.27391
71.39308	41.34215
82.31763	41.5945
74.79572	41.68211
93.58995	41.84166
71.67026	42.04707
63.42171	42.14203
59.85562	42.16766
73.09696	42.31223
54.89418	42.42635
76.90495	42.44776
75.24186	42.68053
67.95149	42.70855
51.82035	42.99984
39.04684	43.11641
91.0102	43.58378
61.19122	43.58579
71.67764	43.74706
77.88318	43.924
74.82574	44.5677
78.28112	44.63363
71.64715	44.708
76.81877	44.78346
65.6733	45.04767
72.10546	45.16567
94.60103	45.25342
80.9202	45.27438
75.0406	45.28126
96.30976	45.50846
80.01656	45.59995
80.1128	45.71432
86.07608	45.75862
80.63122	45.77027
83.06078	45.84578
85.50144	46.0955
87.5817	46.1092
78.99581	46.15644
68.77234	46.27428
77.5686	46.3132
64.61447	46.3652
80.52453	46.46996
57.65938	46.5106
98.05803	46.8797
82.85026	47.19785
97.89449	47.19837
96.1544	47.23894
86.42226	47.4876
95.75835	47.54979
82.03411	47.78862
91.17838	48.02993
74.73523	48.32033
86.5276	48.52982
81.77132	48.53798
67.2597	48.82429
96.4572	48.90467
74.15867	49.04151
86.66606	49.47686
81.4116	49.76741
96.61523	49.78626
89.8267	50.10764
92.16135	50.6875
98.39682	51.15344
97.62117	52.12169
77.31459	52.12302
66.18135	52.12759
96.95385	52.14007
88.10805	52.34836
82.27482	52.58146
77.29417	52.64302
81.57632	52.87153
96.9679	53.41395
94.36744	53.58793
94.14016	53.60788
87.80866	53.64994
93.62826	55.10227
84.03148	55.39732
97.31403	55.436
96.16606	56.05784
93.31201	56.12999
96.88642	56.26337
96.50641	56.39244
95.58777	56.47844
96.9904	58.52158
94.22715	59.30929
98.72881	60.75466
92.73674	61.24327
95.97483	61.44517
