Habitat;Species;Individual;Size
Grassland;Species A;1;10
Grassland;Species A;2;15
Grassland;Species A;3;20
Grassland;Species A;4;13
Grassland;Species A;5;12
Grassland;Species A;6;19
Grassland;Species A;7;25
Grassland;Species A;8;21
Grassland;Species A;9;5
Grassland;Species A;10;7
Grassland;Species A;11;9
Grassland;Species A;12;20
Grassland;Species A;13;12
Grassland;Species B;1;15
Grassland;Species B;2;3
Grassland;Species B;3;9
Grassland;Species B;4;12
Grassland;Species B;5;14
Grassland;Species B;6;6
Grassland;Species B;7;8
Grassland;Species B;8;3
Grassland;Species B;9;22
Grassland;Species B;10;25
Grassland;Species B;11;12
Grassland;Species B;12;26
Grassland;Species B;13;8
Grassland;Species B;14;5
Grassland;Species B;15;3
Grassland;Species B;16;15
Forest;Species A;1;16
Forest;Species A;2;10
Forest;Species A;3;20
Forest;Species A;4;21
Forest;Species A;5;26
Forest;Species A;6;9
Forest;Species B;1;15
Forest;Species B;2;14
Forest;Species B;3;19
Forest;Species B;4;10
Forest;Species B;5;22
Forest;Species B;6;25
Forest;Species B;7;20
Forest;Species B;8;19
Forest;Species B;9;20
Forest;Species B;10;12
Forest;Species B;11;17
Forest;Species B;12;16
